Decade	RhymedNwords	RhymedNsyl	UPoS	LineText	Author
1920s	1	5	ADJ	Совсѐм пусты̀м, нена̀полнѝмым	А. И. Тиняков
1920s	1	5	NOUN	Вечѐрнеѐ оча̀рова̀нье	Т. Вечорка
1920s	1	5	NOUN	Спря̀танны̀й в клобу̀к Саво̀наро̀ла	Н. А. Щеголев
1920s	1	6	NOUN	Не ѝспыта̀ли ко̀раблѐкрушѐнья	Е. Г. Полонская
1920s	2	2	DET	Бессо̀нница! Дру̀г мой!	М. И. Цветаева
1920s	2	3	ADJ	У э̀той пѐсни ла̀д другой,	А. А. Прокофьев
1920s	2	3	PART	Охмелѐть без вина̀ бы,	А. Альвинг
1920s	2	4	DET	Сего̀дня любо̀вь мою	Г. И. Золотухин
1920s	2	5	DET	Базѝль приѐхал стра̀нный, сло̀вно о̀бновлѐнный весь,	М. О. Цетлин (Амари)
1920s	2	5	NOUN	Слава Го̀споду-Бо̀гу,	С. З. Федорченко
