Decade	RhymedNwords	RhymedNsyl	UPoS	LineText	Author
1920s	1	2	NOUN	Сад в цвѐте я̀блонь, в бѐлой пѐне,	Е. Н. Рачинская
1920s	1	2	NOUN	Сѐл на рѐльсы, вы̀тяну̀вши но̀ги.	Т. А. Баженова
1920s	1	2	NOUN	Сильнѐй в стремѐнах сты̀ли но̀ги,	Н. Н. Туроверов
1920s	1	2	NOUN	Скоро в снѐг побегу̀т стру̀йки,	С. И. Кирсанов
1920s	1	2	NOUN	Случа̀лось лѝ тебѐ на свѐтлый дѝск луны̀,	В. М. Василенко
1920s	1	2	NOUN	Со̀лнце в лѝшая̀х и сы̀пи	М. П. Герасимов
1920s	1	2	NOUN	Стелет хво̀я повсю̀ду жа̀ло,	А. С. Головина
1920s	1	2	NOUN	Терпѐнья взо̀рваны̀ года̀	М. И. Серебрянский
1920s	1	2	NOUN	Тихо тя̀нутся со̀нные дро̀ги	А. Н. Вертинский
1920s	1	2	NOUN	Тѝхо-тѝхо на̀ лугу̀,	П. Я. Зальцман
1920s	1	2	NOUN	То̀ не вѐтрена̀я Гѐба	С. В. Петров
1920s	1	2	NOUN	Торжѐственно̀, в сонѐта стро̀гой ра̀ме	Р. П. Спинадель
1920s	1	2	NOUN	Тро̀йкой, гѐй, безала̀берных конѐй	И. Л. Сельвинский
1920s	1	2	NOUN	Ты тро̀нешь хо̀лодно̀ струну̀,	Л. А. Лавров
1920s	1	2	NOUN	Ты уста̀л от любо̀вных утѐх,	Н. М. Олейников
1920s	1	2	NOUN	У меня̀ манса̀рда, не тѐрем,	Э. Трахтенберг
1920s	1	2	NOUN	У нѐжности вы̀росли кры̀лья,	В. А. Силлов
1920s	1	2	NOUN	Уда̀рится в ко̀локол птѝца	С. П. Бобров
1920s	1	2	NOUN	Цветы̀ сквозь су̀мрачну̀ю дрѐму	В. Март
1920s	1	2	NOUN	Чѐрным го̀лосом крича̀ла земля̀,	А. Д. Радлова
1920s	1	2	NOUN	Чугу̀нным ша̀гом шѐл февра̀ль.	Л. Е. Ещин
1920s	1	2	NOUN	Шлѝ мы стѐпью, в стра̀шном мѝре.	Н. Н. Зарудин
1920s	1	2	NOUN	Шу̀мом шумѝшь ты безду̀мным, вѐтер,	К. А. Липскеров
1920s	1	2	NOUN	Я -- дѐлега̀т небѐсной ра̀ти	А. А. Жаров
1920s	1	2	NOUN	Я с нѐба я̀ркую̀ звезду̀	М. Визи
1920s	1	2	NOUN	Я, До̀вид-А̀ри бѐн Меѝр,	Д. Кнут
1920s	1	2	VERB	Ах, с судьбо̀ю мы вѐчно спо̀рим,	Р. Ивнев
1920s	1	2	VERB	Боль ма̀терѐй Нельзя̀ ничѐм объя̀ть:	М. П. Юрин
1920s	1	2	VERB	Бою̀сь, обѝды нѐ снесу̀	И. М. Васильев
1920s	1	2	VERB	Верѐвкой крѐпкой к ма̀чте по̀вит,	В. Н. Иванов
1920s	1	2	VERB	Живѝ, кто у̀мерѐть не мо̀жет,	П. Я. Зальцман : Зальцман Я.Я.
1920s	1	2	VERB	Мнѐ ль не зна̀ть, что сло̀во бро̀дит	Б. К. Лившиц
1920s	1	2	VERB	Моро̀з в окно̀ скребѐтся, ла̀я,	В. Г. Шершеневич
1920s	1	2	VERB	Не птѝцей во̀льной я̀ лечу̀,	А. Э. Беленсон
1920s	1	2	VERB	Но̀чь бесконѐчно длѝтся ...	Максим Горький
1920s	1	2	VERB	Снова о̀сень, и сѐрдце щемѝт --	А. С. Штейгер
1920s	1	2	VERB	Тебя̀ называ̀ть и молѝть мы не смѐем,	Н. С. Позняков
1920s	1	2	VERB	Уста̀ло сѐрдце жѝзни вто̀рить	Е. Д. Волчанецкая
1920s	1	2	VERB	Я года̀ми рабо̀тать бу̀ду.	Е. Н. Рейтлингер
1920s	1	3	ADJ	Затка̀ло пря̀жею̀ тума̀нной	Д. Бедный
1920s	1	3	ADJ	Кра̀сный о̀тблеск слѝлся с но̀чью го̀лубо̀й,	И. Т. Орлова
1920s	1	3	ADJ	Лишь заѝскрится ба̀рхат небѐсный	Б. А. Садовской
1920s	1	3	ADJ	Не о̀крылѝть крыло̀м плеча̀ мне пра̀вого,	Н. В. Крандиевская
1920s	1	3	ADJ	Нет, э̀то совсѐм друго̀е!.. --	Т. Д. Ратгауз
1920s	1	3	ADJ	О чѐм поѐшь, бая̀н наро̀дный,	С. Д. Дрожжин
1920s	1	3	ADJ	О, э̀та да̀ль! -- она̀ обма̀нна:	Ф. И. Чернов
1920s	1	3	ADJ	Он жѝв! у всѐх душа̀ нетлѐнна,	М. А. Кузмин
1920s	1	3	ADJ	По ѝзгарѝ в перста̀тица̀х собо̀льих	А. В. Туфанов
1920s	1	3	ADJ	Пуста̀я ча̀ша вы̀сока̀.	С. Д. Спасский
1920s	1	3	ADJ	Пьян бѐз вина̀, похо̀дкою̀ неро̀вной	М. А. Пожарова
1920s	1	3	ADJ	Сего̀дня -- не гѝль позабы̀тую ра̀зную	Н. Н. Асеев
1920s	1	3	ADJ	Сѝнь тума̀н в снега̀х упру̀гих,	И. Е. Ерошин
1920s	1	3	ADJ	Та но̀чь начала̀сь нетерпѐньем тягу̀чим,	В. А. Луговской
1920s	1	3	ADJ	Холо̀дный клю̀ч осѐнний.	З. Н. Гиппиус
1920s	1	3	ADJ	Я̀ далѐкий, я̀ нездѐшний,	С. М. Городецкий
1920s	1	3	ADJ	Я̀ ждала̀, ждала̀ тебя̀, любѝмый,	В. В. Казин
1920s	1	3	ADV	В ро̀зово̀м кафѐ бы̀ло та̀к ую̀тно:	Н. Болесцис
1920s	1	3	ADV	Вперѐд, зарѐ навстрѐчу,	А. И. Безыменский
1920s	1	3	ADV	Ѐсть ли что̀ чудѐсней	А. В. Ширяевец
1920s	1	3	ADV	Пу̀тник мѝлый, ты̀ далѐче,	А. А. Ахматова
1920s	1	3	ADV	Стоѝт моя̀ луна̀ высо̀ко,	А. Н. Николев (Егунов)
1920s	1	3	ADV	Так у̀милѝтельно̀ по-дѐтски	Б. Н. Несмелов
1920s	1	3	NOUN	-- Дѐвушка̀ Ин, с со̀лнечны̀ми ко̀сами,	С. М. Рафальский
1920s	1	3	NOUN	...мне ж смѐрти нѐт и нѐт убо̀я!	А. Е. Крученых
1920s	1	3	NOUN	В цейхга̀уз сда̀нный ма̀узер	Н. Кармазинский
1920s	1	3	NOUN	Вне со̀страда̀нья, внѐ страда̀нья,	Л. И. Кельберин
1920s	1	3	NOUN	Во̀т она̀, суро̀вая̀ жесто̀кость,	С. А. Есенин
1920s	1	3	NOUN	Всегда̀ поня̀тна жѝзнь поэ̀та,	И. А. Аксенов
1920s	1	3	NOUN	Всхожу̀, бледнѐя, на̀ ступѐни,	Т. П. Андреева
1920s	1	3	NOUN	Вся̀ в цвета̀х душѝстых я̀сная̀ поля̀на.	Д. Земляк
1920s	1	3	NOUN	Вчера̀ румя̀ныѐ зарнѝцы	О. Ф. Берггольц
1920s	1	3	NOUN	Где ты̀, Селѝм, и гдѐ твоя̀ Заѝра,	Г. В. Иванов
1920s	1	3	NOUN	Дѝвный цвето̀к есть в роско̀шных долѝнах Кита̀я,	Н. Светлов
1920s	1	3	NOUN	Ѐлей сѐребря̀щихся̀ намё̀ты	В. Д. Гарднер
1920s	1	3	NOUN	Ѐсть волшѐбныѐ улы̀бки,	Ю. К. Балтрушайтис
1920s	1	3	NOUN	Еще сла̀достным пла̀чем Ада̀ма	В. А. Ковалевский
1920s	1	3	NOUN	Жѝл на свѐте а̀нархѝст.	Саша Черный
1920s	1	3	NOUN	За̀мутѝлся бѐлым о̀блаком	А. Макаров
1920s	1	3	NOUN	За̀ревы̀е о̀блака̀.	Ю. Н. Верховский
1920s	1	3	NOUN	Зелѐный дво̀pик. Ку̀pицы̀ в наво̀зе	А. С. Присманова
1920s	1	3	NOUN	Кро̀ме жѐнщин ѐсть ещѐ на свѐте по̀езда̀,	А. А. Штейнберг
1920s	1	3	NOUN	Люблю̀ под сво̀дамѝ седы̀я тѝшины̀	О. Э. Мандельштам
1920s	1	3	NOUN	На̀ курга̀не, за̀ глухѝм овѝном,	И. И. Доронин
1920s	1	3	NOUN	На сму̀глыѐ ладо̀ни пло̀щадѐй	В. Д. Александровский
1920s	1	3	NOUN	Намѐком знако̀мых страда̀ний --	Н. Ильнек
1920s	1	3	NOUN	Наску̀чив пра̀здным рѐмесло̀м,	М. А. Тарловский
1920s	1	3	NOUN	Нау̀ка нѐ моя̀ стихѝя,	Т. Л. Щепкина-Куперник
1920s	1	3	NOUN	Нѐ сберѐшь мечты̀ в вяза̀нку,	М. В. Праскунин
1920s	1	3	NOUN	Нѐт, ничѐм, ничѐм не смы̀ть позо̀ра,	Грааль-Арельский
1920s	1	3	NOUN	О грязца̀ неземна̀я трактѝра!	В. Л. Андреев
1920s	1	3	NOUN	Оглушѐнная рѐвом и то̀потом,	Н. С. Гумилев
1920s	1	3	NOUN	Он ду̀шу мнѐ залѝл метѐлью	И. А. Савин
1920s	1	3	NOUN	Пога̀снет со̀лнце в зрѝмой вы̀шинѐ,	К. Д. Бальмонт
1920s	1	3	NOUN	Пода̀й мне, Му̀за, но̀вых сло̀в бога̀тство,	В. И. Шишов
1920s	1	3	NOUN	Полы̀нь, полы̀нь, Смирѐнная̀ вдовѝца,	Е. Н. Забелин
1920s	1	3	NOUN	Пропа̀л прелѐстный трѝолѐт,	И. С. Рукавишников
1920s	1	3	NOUN	Пропа̀ла во мра̀ке тропѝнка,	Е. Е. Яшнов
1920s	1	3	NOUN	Протопта̀ла в снегу̀ доро̀жки	А. В. Фотинский
1920s	1	3	NOUN	Сего̀дня о̀сень вы̀глядѝт весно̀ю,	П. Н. Васильев
1920s	1	3	NOUN	Сѐрыѐ досча̀тыѐ забо̀ры ...	С. Я. Долныков
1920s	1	3	NOUN	Со̀ло кита̀йский до̀мику	Н. П. Хабиас
1920s	1	3	NOUN	Спешѝм на Ю̀г. За на̀ми свѝст пого̀ни,	Г. Е. Коренев
